2024-01-06 19:32:37 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.105
2024-01-05 21:45:19 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.167
2024-01-01 03:36:40 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.47
2024-01-01 00:23:38 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.253
2024-01-06 15:51:07 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.9
2024-01-06 10:17:35 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.135
2024-01-02 15:14:49 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.149
2024-01-04 16:00:05 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.71
2024-01-05 05:47:47 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.246
2024-01-04 21:21:19 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.131
2024-01-04 14:29:56 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.48
2024-01-04 07:20:39 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.42
2024-01-04 10:53:40 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.70
2024-01-02 07:57:44 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.85
2024-01-03 11:53:20 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.141
2024-01-01 08:12:15 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.136
2024-01-06 09:24:57 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.166
2024-01-04 09:03:10 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.156
2024-01-05 15:13:05 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.254
2024-01-06 19:43:49 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.204
2024-01-01 16:19:40 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.96
2024-01-07 07:47:25 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.201
2024-01-04 00:33:44 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.128
2024-01-03 18:13:33 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.27
2024-01-02 03:43:56 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.183
2024-01-04 11:57:01 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.42
2024-01-07 09:39:11 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.93
2024-01-05 15:59:15 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.51
2024-01-02 07:14:13 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.117
2024-01-06 20:43:36 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.156
2024-01-02 02:13:58 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.110
2024-01-06 11:18:39 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.68
2024-01-06 16:15:16 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.147
2024-01-04 20:48:45 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.236
2024-01-01 07:08:01 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.47
2024-01-04 03:59:45 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.141
2024-01-02 05:50:22 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.162
2024-01-06 12:01:55 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.26
2024-01-02 01:06:48 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.83
2024-01-04 23:42:21 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.103
2024-01-07 03:45:46 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.135
2024-01-03 17:17:44 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.118
2024-01-03 15:49:08 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.122
2024-01-07 03:06:56 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.71
2024-01-05 14:54:07 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.240
2024-01-05 12:36:36 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.175
2024-01-02 07:15:21 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.24
2024-01-03 09:25:31 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.75
2024-01-02 08:03:34 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.121
2024-01-04 14:43:59 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.230
2024-01-04 22:18:34 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.236
2024-01-07 03:11:36 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.16
2024-01-06 11:16:19 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.7
2024-01-02 00:08:22 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.122
2024-01-06 23:59:50 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.92
2024-01-03 04:25:44 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.32
2024-01-04 16:40:01 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.196
2024-01-05 19:16:57 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.135
2024-01-02 23:51:19 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.151
2024-01-04 22:20:34 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.132
2024-01-06 17:23:14 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.156
2024-01-01 05:17:10 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.216
2024-01-04 00:15:59 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.198
2024-01-02 00:42:25 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.59
2024-01-06 20:38:19 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.42
2024-01-01 22:20:28 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.110
2024-01-03 05:03:41 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.10
2024-01-02 09:53:33 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.37
2024-01-01 07:49:18 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.203
2024-01-06 20:02:43 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.242
2024-01-04 21:08:31 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.3
2024-01-06 20:55:38 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.241
2024-01-03 22:09:42 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.19
2024-01-02 13:55:19 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.19
2024-01-05 19:45:29 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.140
2024-01-07 21:09:18 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.83
2024-01-07 05:59:29 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.199
2024-01-02 01:12:12 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.235
2024-01-02 14:09:30 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.122
2024-01-05 09:20:20 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.252
2024-01-02 14:22:47 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.184
2024-01-04 08:54:39 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.15
2024-01-05 06:06:06 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.98
2024-01-03 14:53:37 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.84
2024-01-07 03:11:43 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.106
2024-01-05 08:36:37 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.19
2024-01-01 10:39:22 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.62
2024-01-02 12:23:07 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.212
2024-01-03 17:03:34 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.148
2024-01-03 02:51:00 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.177
2024-01-07 20:09:20 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.210
2024-01-05 06:46:55 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.116
2024-01-01 15:34:04 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.186
2024-01-05 23:36:13 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.199
2024-01-01 22:06:59 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.104
2024-01-05 22:06:41 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.224
2024-01-03 11:27:27 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.9
2024-01-03 12:16:01 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.38
2024-01-06 21:09:31 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.103
2024-01-07 12:28:55 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.251
2024-01-01 15:27:30 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.248
2024-01-05 08:33:16 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.5
2024-01-06 03:19:24 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.157
2024-01-04 19:32:27 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.183
2024-01-03 21:36:31 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.219
2024-01-02 03:59:29 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.169
2024-01-07 14:40:57 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.127
2024-01-02 10:08:26 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.18
2024-01-07 06:49:22 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.127
2024-01-04 14:45:01 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.246
2024-01-05 06:48:23 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.17
2024-01-03 04:49:13 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.151
2024-01-01 09:14:46 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.119
2024-01-06 18:17:13 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.7
2024-01-02 20:33:22 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.232
2024-01-05 20:24:46 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.149
2024-01-04 22:15:44 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.41
2024-01-02 01:37:32 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.237
2024-01-04 07:42:19 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.176
2024-01-07 12:27:33 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.8
2024-01-05 03:40:33 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.151
2024-01-05 04:04:48 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.119
2024-01-07 02:07:30 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.186
2024-01-06 16:30:30 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.187
2024-01-03 08:05:04 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.11
2024-01-06 10:03:58 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.35
2024-01-02 06:47:03 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.18
2024-01-06 20:43:17 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.64
2024-01-02 00:08:21 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.61
2024-01-05 08:29:28 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.36
2024-01-01 05:45:47 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.215
2024-01-04 14:08:19 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.238
2024-01-05 11:15:40 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.45
2024-01-06 21:16:32 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.197
2024-01-06 05:38:18 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.114
2024-01-06 23:38:42 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.201
2024-01-01 19:29:30 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.172
2024-01-01 02:34:28 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.172
2024-01-06 23:23:44 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.222
2024-01-07 20:58:04 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.180
2024-01-01 23:31:19 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.161
2024-01-07 05:09:19 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.17
2024-01-05 01:15:41 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.168
2024-01-04 11:12:16 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.252
2024-01-06 12:35:51 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.216
2024-01-07 19:22:42 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.144
2024-01-07 14:35:49 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.118
2024-01-04 02:01:21 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.155
2024-01-06 08:51:24 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.228
2024-01-06 13:38:14 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.172
2024-01-06 18:32:25 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.40
2024-01-05 21:41:50 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.181
2024-01-03 19:19:25 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.31
2024-01-01 14:11:29 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.185
2024-01-02 04:25:06 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.32
2024-01-02 12:39:31 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.16
2024-01-02 13:56:44 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.56
2024-01-05 17:10:51 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.22
2024-01-06 12:28:52 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.177
2024-01-01 00:43:48 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.106
2024-01-03 21:16:32 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.128
2024-01-06 03:54:17 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.84
2024-01-01 05:48:47 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.70
2024-01-03 20:34:39 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.208
2024-01-07 10:57:01 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.169
2024-01-05 03:02:34 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.57
2024-01-03 16:05:33 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.165
2024-01-04 00:01:39 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.172
2024-01-03 05:00:20 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.50
2024-01-02 20:58:03 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.132
2024-01-05 19:05:37 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.166
2024-01-04 00:18:19 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.216
2024-01-02 10:46:09 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.114
2024-01-06 15:40:09 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.184
2024-01-05 12:04:13 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.140
2024-01-01 12:34:47 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.43
2024-01-07 13:22:05 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.38
2024-01-03 03:28:46 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.19
2024-01-05 11:49:52 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.218
2024-01-05 08:29:13 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.93
2024-01-03 20:40:11 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.238
2024-01-07 18:25:15 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.153
2024-01-07 09:18:34 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.103
2024-01-03 16:45:00 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.51
2024-01-07 18:35:12 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.109
2024-01-06 11:14:36 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.55
2024-01-04 08:37:26 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.8
2024-01-07 11:31:32 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.183
2024-01-05 16:36:25 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.158
2024-01-07 11:55:22 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.125
2024-01-04 21:42:24 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.46
2024-01-03 08:20:34 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.147
2024-01-02 09:13:56 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.212
2024-01-03 10:10:23 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.172
2024-01-02 08:04:13 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.134
2024-01-07 15:30:12 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.238
2024-01-05 10:38:11 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.172
2024-01-04 16:24:32 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.91
