2024-01-06 18:05:50 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-05 14:16:20 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-02 02:51:48 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-06 13:11:43 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-06 15:31:58 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-02 20:45:56 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-06 17:52:23 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-07 21:27:26 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-01 10:19:34 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-07 06:30:37 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-04 13:32:29 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-05 04:19:45 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-01 05:05:05 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-07 21:15:03 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-07 16:58:19 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-02 15:35:48 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-06 11:15:39 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-02 11:37:31 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-02 22:48:10 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-03 05:59:38 | User=user3 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-01 10:17:00 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-07 12:39:35 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-02 00:14:20 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-07 12:39:38 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-07 06:28:10 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=Portable_SSD | Unauthorized=True
2024-01-03 23:36:00 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=Portable_SSD | Unauthorized=True
2024-01-02 19:08:10 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=External_HDD_1 | Unauthorized=True
2024-01-02 00:19:13 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=External_HDD_1 | Unauthorized=True
2024-01-01 01:28:10 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-05 02:42:40 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-04 15:01:32 | User=user3 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-04 17:21:24 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-06 17:04:25 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-01 04:23:27 | User=user3 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-04 05:13:10 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-03 02:29:43 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-05 23:26:07 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-04 09:05:14 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-04 23:37:27 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-07 09:07:00 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-06 04:37:42 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-03 04:11:53 | User=user3 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-06 17:54:24 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-07 11:37:35 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-07 02:26:14 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-01 17:38:31 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=External_HDD_1 | Unauthorized=True
2024-01-03 14:17:52 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-05 06:34:51 | User=user3 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-02 01:21:12 | User=user3 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-04 20:04:42 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=Portable_SSD | Unauthorized=True
2024-01-05 15:56:46 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-06 01:38:06 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-01 17:51:36 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-01 01:08:44 | User=user3 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-05 01:14:20 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-06 05:51:28 | User=user3 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
