2024-01-06 23:36:20 | User=user3 | Action=Download | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-07 21:37:00 | User=user3 | Action=Upload | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-07 05:06:07 | User=user2 | Action=Download | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=True
2024-01-04 03:33:28 | User=user1 | Action=Upload | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-01 19:21:56 | User=user1 | Action=Upload | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-06 19:57:37 | User=user3 | Action=Download | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-03 23:58:25 | User=user1 | Action=Download | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 10:21:22 | User=user2 | Action=Download | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-05 08:03:27 | User=user2 | Action=Download | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=True
2024-01-06 22:51:35 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-01 17:06:26 | User=user2 | Action=Upload | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-01 15:19:04 | User=user2 | Action=Upload | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-01 14:36:41 | User=user3 | Action=Download | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-07 08:59:10 | User=user1 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=True
2024-01-05 11:03:59 | User=user3 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-01 20:46:06 | User=user2 | Action=Upload | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-02 13:25:21 | User=user2 | Action=Download | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-03 06:08:59 | User=user1 | Action=Download | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 06:11:04 | User=user1 | Action=Upload | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-06 13:30:18 | User=user1 | Action=Upload | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-03 19:07:19 | User=user2 | Action=Upload | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-05 13:14:03 | User=user1 | Action=Upload | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-05 10:08:19 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-07 17:48:57 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-05 01:55:47 | User=user2 | Action=Download | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-05 23:12:09 | User=user3 | Action=Download | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-02 21:07:35 | User=user3 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-03 16:45:47 | User=user2 | Action=Download | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-01 08:43:03 | User=user1 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-06 13:59:39 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-07 02:02:39 | User=user1 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-06 16:50:49 | User=user1 | Action=Upload | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-07 04:06:56 | User=user1 | Action=Download | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-01 01:45:56 | User=user1 | Action=Download | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-03 00:52:07 | User=user2 | Action=Download | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-05 20:54:56 | User=user1 | Action=Download | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-06 12:52:37 | User=user2 | Action=Upload | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-05 14:05:43 | User=user1 | Action=Download | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-01 15:26:22 | User=user3 | Action=Upload | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 20:36:43 | User=user2 | Action=Download | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-06 17:13:08 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-02 09:30:41 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-05 20:48:15 | User=user3 | Action=Upload | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-04 06:05:06 | User=user3 | Action=Download | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-06 20:37:51 | User=user2 | Action=Download | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-01 12:43:25 | User=user2 | Action=Upload | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-04 17:31:33 | User=user3 | Action=Download | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-06 06:43:58 | User=user2 | Action=Download | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 11:55:36 | User=user3 | Action=Download | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-07 10:25:09 | User=user1 | Action=Upload | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 01:38:53 | User=user2 | Action=Download | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 04:33:48 | User=user3 | Action=Upload | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-04 14:12:50 | User=user3 | Action=Upload | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-04 04:34:22 | User=user1 | Action=Download | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=True
2024-01-05 10:48:40 | User=user1 | Action=Upload | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-05 14:47:31 | User=user3 | Action=Upload | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-06 17:20:42 | User=user2 | Action=Upload | File=Sensitive_File.txt | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=True
2024-01-05 05:04:07 | User=user3 | Action=Upload | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-05 10:14:18 | User=user1 | Action=Download | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-07 20:17:59 | User=user1 | Action=Upload | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-05 13:24:22 | User=user1 | Action=Download | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-04 18:43:53 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=True
2024-01-04 23:55:58 | User=user1 | Action=Download | File=Company_Data.csv | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-02 01:55:39 | User=user2 | Action=Upload | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=True
2024-01-02 08:19:19 | User=user2 | Action=Download | File=Sensitive_File.txt | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-04 11:30:51 | User=user3 | Action=Upload | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-07 05:54:08 | User=user3 | Action=Download | File=Sensitive_File.txt | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
